Date,Open,High,Low,Close,Adj,CloseVolume
1989-04-01,7.140625,7.640625,7.125000,7.562500,1.249136,58979200
1989-05-01,7.562500,8.078125,7.296875,7.984375,1.374990,64256800
1989-06-01,7.906250,7.906250,7.187500,7.250000,1.248523,88481600
1989-07-01,7.250000,7.609375,7.109375,7.421875,1.278121,54357600
1989-08-01,7.453125,8.250000,7.453125,8.031250,1.441067,71600000
1989-09-01,8.031250,8.171875,7.593750,7.625000,1.368172,39456800
1989-10-01,7.625000,7.750000,6.828125,7.156250,1.284063,65188800
1989-11-01,7.140625,7.421875,6.609375,7.328125,1.370782,53135200
1989-12-01,7.328125,7.656250,6.828125,7.234375,1.353246,48357600
1990-01-01,7.234375,7.515625,6.687500,6.921875,1.294791,62149600
1990-02-01,6.937500,7.578125,6.781250,7.578125,1.479291,44189600
1990-03-01,7.562500,7.859375,7.406250,7.640625,1.491492,65666400
1990-04-01,7.578125,7.859375,7.406250,7.671875,1.497591,54096800
1990-05-01,7.671875,8.546875,7.625000,8.375000,1.702670,92579200
1990-06-01,8.375000,8.562500,6.437500,6.578125,1.337358,127898400
1990-07-01,6.578125,6.812500,5.953125,6.109375,1.242060,82116800
1990-08-01,6.109375,6.156250,5.078125,5.375000,1.144846,52587200
1990-09-01,5.375000,5.593750,5.109375,5.281250,1.124878,33297600
1990-10-01,5.281250,5.531250,4.765625,5.093750,1.084942,52340800
1990-11-01,5.046875,5.500000,4.906250,5.140625,1.165047,50738400
1990-12-01,5.218750,6.031250,5.187500,5.875000,1.331483,35245600
1991-01-01,5.875000,6.312500,5.328125,6.218750,1.409389,52680800
1991-02-01,6.218750,6.984375,5.921875,6.828125,1.632923,74216800
1991-03-01,6.828125,7.203125,5.953125,5.984375,1.431143,70274400
1991-04-01,5.984375,6.390625,5.781250,5.953125,1.423669,43590400
1991-05-01,5.984375,6.562500,5.718750,6.468750,1.630458,62332000
1991-06-01,6.468750,6.718750,6.078125,6.171875,1.555631,34268800
1991-07-01,6.171875,6.296875,5.890625,6.140625,1.547755,34395200
1991-08-01,6.140625,6.250000,5.562500,5.937500,1.574258,43294400
1991-09-01,5.937500,5.937500,5.531250,5.578125,1.478973,31124000
1991-10-01,5.578125,6.171875,5.515625,6.000000,1.590829,51898400
1991-11-01,6.000000,6.109375,4.703125,5.156250,1.443467,53141600
1991-12-01,5.156250,5.500000,4.812500,5.484375,1.535324,54469600
1992-01-01,5.484375,6.046875,5.156250,5.843750,1.635930,62514400
1992-02-01,5.843750,6.593750,5.828125,6.109375,1.761041,57854400
1992-03-01,6.156250,6.484375,5.875000,6.250000,1.801577,40928000
1992-04-01,6.218750,7.156250,5.890625,7.015625,2.022271,71410400
1992-05-01,7.015625,7.593750,6.687500,7.546875,2.230600,53864000
1992-06-01,7.546875,7.765625,6.312500,6.718750,1.985835,61127200
1992-07-01,6.718750,7.015625,6.156250,6.906250,2.041252,51009600
1992-08-01,6.906250,6.906250,5.828125,6.031250,1.823645,49800000
1992-09-01,6.031250,6.687500,5.953125,6.515625,1.970104,52049600
1992-10-01,6.500000,6.718750,6.000000,6.531250,1.974828,63000000
1992-11-01,6.531250,7.093750,6.453125,7.093750,2.195097,40524800
1992-12-01,7.093750,7.109375,6.578125,6.703125,2.074223,37085600
1993-01-01,6.734375,7.203125,6.734375,7.015625,2.170921,43880800
1993-02-01,7.015625,7.437500,6.906250,7.250000,2.292374,44768000
1993-03-01,7.250000,7.578125,7.109375,7.390625,2.336838,52220000
1993-04-01,7.390625,8.671875,7.203125,8.656250,2.737013,84200800
1993-05-01,8.656250,9.125000,8.359375,8.953125,2.886679,75550400
1993-06-01,8.953125,9.781250,8.921875,9.359375,3.017663,89656000
1993-07-01,9.359375,10.031250,9.093750,9.609375,3.098268,64358400
